# b0,b1,b2,b3
2.016075588986191747e+01,1.485168890572928468e+01,1.975327368910954817e+01,1.532457898216943271e+01
2.000397588713869723e+01,1.462817036073759880e+01,1.997465310912272329e+01,1.513427007817237602e+01
2.005599172235081085e+01,1.469622594733199783e+01,1.981874088839313330e+01,1.526719236028305815e+01
2.020693070554361626e+01,1.469788899676037985e+01,1.966332372992275879e+01,1.532639327892113101e+01
1.975261014509881363e+01,1.424075945458710279e+01,1.940054800429364690e+01,1.484478632885062588e+01
1.988875668419828457e+01,1.439965075361394931e+01,1.950284623502844639e+01,1.521577133316899122e+01
2.059662048703585668e+01,1.519196770650298056e+01,2.051516655061639582e+01,1.571113081654019261e+01
2.152000599045869578e+01,1.606165475223729189e+01,2.115913480695683901e+01,1.679207837933304859e+01
2.070747718347707789e+01,1.515216157373474104e+01,2.016464122431600359e+01,1.570383940231213771e+01
2.067881298993246375e+01,1.539107822954611571e+01,2.050300623179449389e+01,1.583673372322650152e+01
2.120744868767738822e+01,1.570071728122544208e+01,2.076637079916134354e+01,1.632407199934364073e+01
2.108441485600813436e+01,1.567335096710987763e+01,2.071365300465329540e+01,1.638692481466531703e+01
2.092747352162577812e+01,1.543652979890384103e+01,2.036266856497256228e+01,1.608593522667182896e+01
2.079463466964985585e+01,1.535256380663586739e+01,2.001734111421460938e+01,1.622050737996316983e+01
